# ev x0 y0 z0 xf yf zf 
0 -0.114412 0.12843 -0.25 -0.161294 0.0893385 -0.15
1 -0.0643824 0.0405277 -0.25 -0.153344 0.230439 0.5
2 -0.0941373 0.215516 -0.25 -0.10295 0.186418 -0.149993
3 0.00137578 0.137429 -0.25 0.051294 0.1205 0.359988
4 0.0796993 -0.222917 -0.25 0.0847676 -0.246694 -0.15
5 -0.144587 -0.109736 -0.25 -0.177776 -0.121313 -0.149989
6 -0.128746 0.0577589 -0.25 -0.127963 0.0334238 0.359931
7 0.161959 -0.16419 -0.25 0.169445 -0.14212 -0.149999
8 -0.0749545 -0.18625 -0.25 -0.0225801 -0.213795 -0.149998
9 -0.229067 -0.236489 -0.25 -0.251707 -0.208307 -0.149991
10 0.173079 0.0850188 -0.25 0.188413 0.109184 -0.149999
11 -0.0367596 -0.0312259 -0.25 -0.15623 -0.164404 0.359988
12 -0.168031 -0.0152413 -0.25 -0.163233 -0.00289744 -0.14998
13 -0.230224 -0.228965 -0.25 -0.233335 -0.208502 -0.149955
14 0.148144 -0.103155 -0.25 0.175505 -0.146545 -0.149999
15 0.00157768 -0.216267 -0.25 0.00593286 -0.220778 -0.149993
16 -0.224725 0.187195 -0.25 -0.232855 0.188929 -0.149995
17 0.0742605 -0.0688626 -0.25 0.119639 -0.0653427 0.359991
18 0.152712 -0.174364 -0.25 0.15942 -0.127973 -0.15
19 -0.181433 -0.017589 -0.25 -0.129729 -0.00845016 0.357493
20 -0.147281 -0.0760202 -0.25 -0.133521 -0.0784847 0.359971
21 0.122675 -0.0260261 -0.25 0.17344 0.0282497 0.359987
22 0.231739 0.0346337 -0.25 0.215985 0.0286913 -0.149997
23 0.0597842 -0.0932158 -0.25 0.0359679 -0.139527 0.359991
24 0.0983839 0.0807168 -0.25 0.11451 0.0703755 0.359992
25 -0.0797046 0.0214633 -0.25 -0.0450498 0.010296 0.5
26 -0.0842644 0.133536 -0.25 0.0365755 0.1405 0.359992
27 0.240237 -0.00229504 -0.25 0.230236 -0.0244322 -0.149997
28 -0.131705 -0.239986 -0.25 -0.076554 -0.258851 -0.149994
29 0.01874 -0.233561 -0.25 0.0185641 -0.237164 -0.149984
30 -0.0931414 -0.229682 -0.25 -0.104133 -0.27033 -0.149997
31 -0.199828 -0.0678668 -0.25 -0.197631 -0.0748264 -0.149981
32 0.207513 0.124432 -0.25 0.206539 0.157144 -0.149985
33 0.113271 0.110225 -0.25 0.110131 0.108813 -0.149999
34 0.200069 0.181837 -0.25 0.209742 0.188525 -0.149993
35 -0.157364 -0.197212 -0.25 -0.167634 -0.204936 -0.14999
36 -0.144183 0.215311 -0.25 -0.151702 0.211027 -0.220407
37 0.0267618 -0.162444 -0.25 0.0405755 -0.159265 -0.149999
38 -5.57575e-05 -0.163454 -0.25 -0.00539152 -0.223854 -0.149998
39 -0.00566003 -0.151672 -0.25 0.0132884 -0.147711 0.5
40 0.167263 0.164635 -0.25 0.168676 0.167242 -0.243163
41 0.119791 -0.167002 -0.25 0.158948 -0.134741 -0.149991
42 0.0481712 0.110029 -0.25 0.0333143 0.138993 0.359997
43 0.0807034 0.166466 -0.25 0.106693 0.207392 -0.149999
